数据集,规范字段名,中文字段名,数据类型,单位,小数位数,默认格式,字段说明
fina_indicator_quarterly,tr_yoy,营业总收入同比增长率(%),float,%,2,%.2f,营业总收入同比增长率(%)
fina_indicator_quarterly,or_yoy,营业收入同比增长率(%),float,%,2,%.2f,营业收入同比增长率(%)
fina_indicator_quarterly,q_gr_yoy,营业总收入同比增长率(%)(单季度),float,%,2,%.2f,营业总收入同比增长率(%)(单季度)
fina_indicator_quarterly,q_gr_qoq,营业总收入环比增长率(%)(单季度),float,%,2,%.2f,营业总收入环比增长率(%)(单季度)
fina_indicator_quarterly,q_sales_yoy,营业收入同比增长率(%)(单季度),float,%,2,%.2f,营业收入同比增长率(%)(单季度)
fina_indicator_quarterly,q_sales_qoq,营业收入环比增长率(%)(单季度),float,%,2,%.2f,营业收入环比增长率(%)(单季度)
fina_indicator_quarterly,q_op_yoy,营业利润同比增长率(%)(单季度),float,%,2,%.2f,营业利润同比增长率(%)(单季度)
fina_indicator_quarterly,q_op_qoq,营业利润环比增长率(%)(单季度),float,%,2,%.2f,营业利润环比增长率(%)(单季度)
fina_indicator_quarterly,q_profit_yoy,净利润同比增长率(%)(单季度),float,%,2,%.2f,净利润同比增长率(%)(单季度)
fina_indicator_quarterly,q_profit_qoq,净利润环比增长率(%)(单季度),float,%,2,%.2f,净利润环比增长率(%)(单季度)
fina_indicator_quarterly,q_netprofit_yoy,归属母公司股东的净利润同比增长率(%)(单季度),float,%,2,%.2f,归属母公司股东的净利润同比增长率(%)(单季度)
fina_indicator_quarterly,q_netprofit_qoq,归属母公司股东的净利润环比增长率(%)(单季度),float,%,2,%.2f,归属母公司股东的净利润环比增长率(%)(单季度)
fina_indicator_quarterly,equity_yoy,净资产同比增长率,float,%,2,%.2f,净资产同比增长率
fina_indicator_quarterly,rd_exp,研发费用,float,无,2,%.2f,研发费用
fina_indicator_quarterly,update_flag,更新标识,str,无,0,,更新标识
income_quarterly,ts_code,TS代码,str,无,0,,TS代码
income_quarterly,ann_date,公告日期,str,无,0,YYYY-MM-DD,公告日期
income_quarterly,f_ann_date,实际公告日期,str,无,0,YYYY-MM-DD,实际公告日期
income_quarterly,end_date,报告期,str,无,0,YYYY-MM-DD,报告期
income_quarterly,report_type,报告类型 见底部表,str,无,0,,报告类型 见底部表
income_quarterly,comp_type,公司类型(1一般工商业2银行3保险4证券),str,无,0,,公司类型(1一般工商业2银行3保险4证券)
income_quarterly,end_type,报告期类型,str,无,0,,报告期类型
income_quarterly,basic_eps,基本每股收益,float,无,2,%.2f,基本每股收益
income_quarterly,diluted_eps,稀释每股收益,float,无,2,%.2f,稀释每股收益
income_quarterly,total_revenue,营业总收入,float,无,2,%.2f,营业总收入
income_quarterly,revenue,营业收入,float,无,2,%.2f,营业收入
income_quarterly,int_income,利息收入,float,无,2,%.2f,利息收入
income_quarterly,prem_earned,已赚保费,float,无,2,%.2f,已赚保费
income_quarterly,comm_income,手续费及佣金收入,float,无,2,%.2f,手续费及佣金收入
income_quarterly,n_commis_income,手续费及佣金净收入,float,无,2,%.2f,手续费及佣金净收入
income_quarterly,n_oth_income,其他经营净收益,float,无,2,%.2f,其他经营净收益
income_quarterly,n_oth_b_income,加:其他业务净收益,float,无,2,%.2f,加:其他业务净收益
income_quarterly,prem_income,保险业务收入,float,无,2,%.2f,保险业务收入
income_quarterly,out_prem,减:分出保费,float,无,2,%.2f,减:分出保费
income_quarterly,une_prem_reser,提取未到期责任准备金,float,无,2,%.2f,提取未到期责任准备金
income_quarterly,reins_income,其中:分保费收入,float,无,2,%.2f,其中:分保费收入
income_quarterly,n_sec_tb_income,代理买卖证券业务净收入,float,无,2,%.2f,代理买卖证券业务净收入
income_quarterly,n_sec_uw_income,证券承销业务净收入,float,无,2,%.2f,证券承销业务净收入
income_quarterly,n_asset_mg_income,受托客户资产管理业务净收入,float,无,2,%.2f,受托客户资产管理业务净收入
income_quarterly,oth_b_income,其他业务收入,float,无,2,%.2f,其他业务收入
income_quarterly,fv_value_chg_gain,加:公允价值变动净收益,float,无,2,%.2f,加:公允价值变动净收益
income_quarterly,invest_income,加:投资净收益,float,无,2,%.2f,加:投资净收益
income_quarterly,ass_invest_income,其中:对联营企业和合营企业的投资收益,float,无,2,%.2f,其中:对联营企业和合营企业的投资收益
income_quarterly,forex_gain,加:汇兑净收益,float,无,2,%.2f,加:汇兑净收益
income_quarterly,total_cogs,营业总成本,float,无,2,%.2f,营业总成本
income_quarterly,oper_cost,减:营业成本,float,无,2,%.2f,减:营业成本
income_quarterly,int_exp,减:利息支出,float,无,2,%.2f,减:利息支出
income_quarterly,comm_exp,减:手续费及佣金支出,float,无,2,%.2f,减:手续费及佣金支出
income_quarterly,biz_tax_surchg,减:营业税金及附加,float,无,2,%.2f,减:营业税金及附加
income_quarterly,sell_exp,减:销售费用,float,无,2,%.2f,减:销售费用
income_quarterly,admin_exp,减:管理费用,float,无,2,%.2f,减:管理费用
income_quarterly,fin_exp,减:财务费用,float,无,2,%.2f,减:财务费用
income_quarterly,assets_impair_loss,减:资产减值损失,float,无,2,%.2f,减:资产减值损失
income_quarterly,prem_refund,退保金,float,无,2,%.2f,退保金
income_quarterly,compens_payout,赔付总支出,float,无,2,%.2f,赔付总支出
income_quarterly,reser_insur_liab,提取保险责任准备金,float,无,2,%.2f,提取保险责任准备金
income_quarterly,div_payt,保户红利支出,float,无,2,%.2f,保户红利支出
income_quarterly,reins_exp,分保费用,float,无,2,%.2f,分保费用
income_quarterly,oper_exp,营业支出,float,无,2,%.2f,营业支出
income_quarterly,compens_payout_refu,减:摊回赔付支出,float,无,2,%.2f,减:摊回赔付支出
income_quarterly,insur_reser_refu,减:摊回保险责任准备金,float,无,2,%.2f,减:摊回保险责任准备金
income_quarterly,reins_cost_refund,减:摊回分保费用,float,无,2,%.2f,减:摊回分保费用
income_quarterly,other_bus_cost,其他业务成本,float,无,2,%.2f,其他业务成本
income_quarterly,operate_profit,营业利润,float,无,2,%.2f,营业利润
income_quarterly,non_oper_income,加:营业外收入,float,无,2,%.2f,加:营业外收入
income_quarterly,non_oper_exp,减:营业外支出,float,无,2,%.2f,减:营业外支出
income_quarterly,nca_disploss,其中:减:非流动资产处置净损失,float,无,2,%.2f,其中:减:非流动资产处置净损失
income_quarterly,total_profit,利润总额,float,无,2,%.2f,利润总额
income_quarterly,income_tax,所得税费用,float,无,2,%.2f,所得税费用
income_quarterly,n_income,净利润(含少数股东损益),float,无,2,%.2f,净利润(含少数股东损益)
income_quarterly,n_income_attr_p,净利润(不含少数股东损益),float,无,2,%.2f,净利润(不含少数股东损益)
income_quarterly,minority_gain,少数股东损益,float,无,2,%.2f,少数股东损益
income_quarterly,oth_compr_income,其他综合收益,float,无,2,%.2f,其他综合收益
income_quarterly,t_compr_income,综合收益总额,float,无,2,%.2f,综合收益总额
income_quarterly,compr_inc_attr_p,归属于母公司(或股东)的综合收益总额,float,无,2,%.2f,归属于母公司(或股东)的综合收益总额
income_quarterly,compr_inc_attr_m_s,归属于少数股东的综合收益总额,float,无,2,%.2f,归属于少数股东的综合收益总额
income_quarterly,ebit,息税前利润,float,无,2,%.2f,息税前利润
income_quarterly,ebitda,息税折旧摊销前利润,float,无,2,%.2f,息税折旧摊销前利润
income_quarterly,insurance_exp,保险业务支出,float,无,2,%.2f,保险业务支出
income_quarterly,undist_profit,年初未分配利润,float,无,2,%.2f,年初未分配利润
income_quarterly,distable_profit,可分配利润,float,无,2,%.2f,可分配利润
income_quarterly,rd_exp,研发费用,float,无,2,%.2f,研发费用
income_quarterly,fin_exp_int_exp,财务费用:利息费用,float,无,2,%.2f,财务费用:利息费用
income_quarterly,fin_exp_int_inc,财务费用:利息收入,float,无,2,%.2f,财务费用:利息收入
income_quarterly,transfer_surplus_rese,盈余公积转入,float,无,2,%.2f,盈余公积转入
income_quarterly,transfer_housing_imprest,住房周转金转入,float,无,2,%.2f,住房周转金转入
income_quarterly,transfer_oth,其他转入,float,无,2,%.2f,其他转入
income_quarterly,adj_lossgain,调整以前年度损益,float,无,2,%.2f,调整以前年度损益
income_quarterly,withdra_legal_surplus,提取法定盈余公积,float,无,2,%.2f,提取法定盈余公积
income_quarterly,withdra_legal_pubfund,提取法定公益金,float,无,2,%.2f,提取法定公益金
income_quarterly,withdra_biz_devfund,提取企业发展基金,float,无,2,%.2f,提取企业发展基金
income_quarterly,withdra_rese_fund,提取储备基金,float,无,2,%.2f,提取储备基金
income_quarterly,withdra_oth_ersu,提取任意盈余公积金,float,无,2,%.2f,提取任意盈余公积金
income_quarterly,workers_welfare,职工奖金福利,float,无,2,%.2f,职工奖金福利
income_quarterly,distr_profit_shrhder,可供股东分配的利润,float,无,2,%.2f,可供股东分配的利润
income_quarterly,prfshare_payable_dvd,应付优先股股利,float,无,2,%.2f,应付优先股股利
income_quarterly,comshare_payable_dvd,应付普通股股利,float,无,2,%.2f,应付普通股股利
income_quarterly,capit_comstock_div,转作股本的普通股股利,float,无,2,%.2f,转作股本的普通股股利
income_quarterly,net_after_nr_lp_correct,扣除非经常性损益后的净利润（更正前）,float,无,2,%.2f,扣除非经常性损益后的净利润（更正前）
income_quarterly,credit_impa_loss,信用减值损失,float,无,2,%.2f,信用减值损失
income_quarterly,net_expo_hedging_benefits,净敞口套期收益,float,无,2,%.2f,净敞口套期收益
income_quarterly,oth_impair_loss_assets,其他资产减值损失,float,无,2,%.2f,其他资产减值损失
income_quarterly,total_opcost,营业总成本（二）,float,无,2,%.2f,营业总成本（二）
income_quarterly,amodcost_fin_assets,以摊余成本计量的金融资产终止确认收益,float,无,2,%.2f,以摊余成本计量的金融资产终止确认收益
income_quarterly,oth_income,其他收益,float,无,2,%.2f,其他收益
income_quarterly,asset_disp_income,资产处置收益,float,无,2,%.2f,资产处置收益
income_quarterly,continued_net_profit,持续经营净利润,float,无,2,%.2f,持续经营净利润
income_quarterly,end_net_profit,终止经营净利润,float,无,2,%.2f,终止经营净利润
income_quarterly,update_flag,更新标识,str,无,0,,更新标识
balancesheet_quarterly,ts_code,TS股票代码,str,无,0,,TS股票代码
balancesheet_quarterly,ann_date,公告日期,str,无,0,YYYY-MM-DD,公告日期
balancesheet_quarterly,f_ann_date,实际公告日期,str,无,0,YYYY-MM-DD,实际公告日期
balancesheet_quarterly,end_date,报告期,str,无,0,YYYY-MM-DD,报告期
balancesheet_quarterly,report_type,报表类型,str,无,0,,报表类型
balancesheet_quarterly,comp_type,公司类型(1一般工商业2银行3保险4证券),str,无,0,,公司类型(1一般工商业2银行3保险4证券)
balancesheet_quarterly,end_type,报告期类型,str,无,0,,报告期类型
balancesheet_quarterly,total_share,期末总股本,float,无,2,%.2f,期末总股本
balancesheet_quarterly,cap_rese,资本公积金,float,无,2,%.2f,资本公积金
balancesheet_quarterly,undistr_porfit,未分配利润,float,无,2,%.2f,未分配利润
balancesheet_quarterly,surplus_rese,盈余公积金,float,无,2,%.2f,盈余公积金
balancesheet_quarterly,special_rese,专项储备,float,无,2,%.2f,专项储备
balancesheet_quarterly,money_cap,货币资金,float,无,2,%.2f,货币资金
balancesheet_quarterly,trad_asset,交易性金融资产,float,无,2,%.2f,交易性金融资产
balancesheet_quarterly,notes_receiv,应收票据,float,无,2,%.2f,应收票据
balancesheet_quarterly,accounts_receiv,应收账款,float,无,2,%.2f,应收账款
balancesheet_quarterly,oth_receiv,其他应收款,float,无,2,%.2f,其他应收款
balancesheet_quarterly,prepayment,预付款项,float,无,2,%.2f,预付款项
balancesheet_quarterly,div_receiv,应收股利,float,无,2,%.2f,应收股利
balancesheet_quarterly,int_receiv,应收利息,float,无,2,%.2f,应收利息
balancesheet_quarterly,inventories,存货,float,无,2,%.2f,存货
balancesheet_quarterly,amor_exp,待摊费用,float,无,2,%.2f,待摊费用
balancesheet_quarterly,nca_within_1y,一年内到期的非流动资产,float,无,2,%.2f,一年内到期的非流动资产
balancesheet_quarterly,sett_rsrv,结算备付金,float,无,2,%.2f,结算备付金
balancesheet_quarterly,loanto_oth_bank_fi,拆出资金,float,无,2,%.2f,拆出资金
balancesheet_quarterly,premium_receiv,应收保费,float,无,2,%.2f,应收保费
balancesheet_quarterly,reinsur_receiv,应收分保账款,float,无,2,%.2f,应收分保账款
balancesheet_quarterly,reinsur_res_receiv,应收分保合同准备金,float,无,2,%.2f,应收分保合同准备金
balancesheet_quarterly,pur_resale_fa,买入返售金融资产,float,无,2,%.2f,买入返售金融资产
balancesheet_quarterly,oth_cur_assets,其他流动资产,float,无,2,%.2f,其他流动资产
balancesheet_quarterly,total_cur_assets,流动资产合计,float,无,2,%.2f,流动资产合计
balancesheet_quarterly,fa_avail_for_sale,可供出售金融资产,float,无,2,%.2f,可供出售金融资产
balancesheet_quarterly,htm_invest,持有至到期投资,float,无,2,%.2f,持有至到期投资
balancesheet_quarterly,lt_eqt_invest,长期股权投资,float,无,2,%.2f,长期股权投资
balancesheet_quarterly,invest_real_estate,投资性房地产,float,无,2,%.2f,投资性房地产
balancesheet_quarterly,time_deposits,定期存款,float,无,2,%.2f,定期存款
balancesheet_quarterly,oth_assets,其他资产,float,无,2,%.2f,其他资产
balancesheet_quarterly,lt_rec,长期应收款,float,无,2,%.2f,长期应收款
balancesheet_quarterly,fix_assets,固定资产,float,无,2,%.2f,固定资产
balancesheet_quarterly,cip,在建工程,float,无,2,%.2f,在建工程
balancesheet_quarterly,const_materials,工程物资,float,无,2,%.2f,工程物资
balancesheet_quarterly,fixed_assets_disp,固定资产清理,float,无,2,%.2f,固定资产清理
balancesheet_quarterly,produc_bio_assets,生产性生物资产,float,无,2,%.2f,生产性生物资产
balancesheet_quarterly,oil_and_gas_assets,油气资产,float,无,2,%.2f,油气资产
balancesheet_quarterly,intan_assets,无形资产,float,无,2,%.2f,无形资产
balancesheet_quarterly,r_and_d,研发支出,float,无,2,%.2f,研发支出
balancesheet_quarterly,goodwill,商誉,float,无,2,%.2f,商誉
balancesheet_quarterly,lt_amor_exp,长期待摊费用,float,无,2,%.2f,长期待摊费用
balancesheet_quarterly,defer_tax_assets,递延所得税资产,float,无,2,%.2f,递延所得税资产
balancesheet_quarterly,decr_in_disbur,发放贷款及垫款,float,无,2,%.2f,发放贷款及垫款
balancesheet_quarterly,oth_nca,其他非流动资产,float,无,2,%.2f,其他非流动资产
balancesheet_quarterly,total_nca,非流动资产合计,float,无,2,%.2f,非流动资产合计
balancesheet_quarterly,cash_reser_cb,现金及存放中央银行款项,float,无,2,%.2f,现金及存放中央银行款项
balancesheet_quarterly,depos_in_oth_bfi,存放同业和其它金融机构款项,float,无,2,%.2f,存放同业和其它金融机构款项
balancesheet_quarterly,prec_metals,贵金属,float,无,2,%.2f,贵金属
balancesheet_quarterly,deriv_assets,衍生金融资产,float,无,2,%.2f,衍生金融资产
balancesheet_quarterly,rr_reins_une_prem,应收分保未到期责任准备金,float,无,2,%.2f,应收分保未到期责任准备金
balancesheet_quarterly,rr_reins_outstd_cla,应收分保未决赔款准备金,float,无,2,%.2f,应收分保未决赔款准备金
balancesheet_quarterly,rr_reins_lins_liab,应收分保寿险责任准备金,float,无,2,%.2f,应收分保寿险责任准备金
balancesheet_quarterly,rr_reins_lthins_liab,应收分保长期健康险责任准备金,float,无,2,%.2f,应收分保长期健康险责任准备金
balancesheet_quarterly,refund_depos,存出保证金,float,无,2,%.2f,存出保证金
balancesheet_quarterly,ph_pledge_loans,保户质押贷款,float,无,2,%.2f,保户质押贷款
balancesheet_quarterly,refund_cap_depos,存出资本保证金,float,无,2,%.2f,存出资本保证金
balancesheet_quarterly,indep_acct_assets,独立账户资产,float,无,2,%.2f,独立账户资产
balancesheet_quarterly,client_depos,其中：客户资金存款,float,无,2,%.2f,其中：客户资金存款
balancesheet_quarterly,client_prov,其中：客户备付金,float,无,2,%.2f,其中：客户备付金
balancesheet_quarterly,transac_seat_fee,其中:交易席位费,float,无,2,%.2f,其中:交易席位费
balancesheet_quarterly,invest_as_receiv,应收款项类投资,float,无,2,%.2f,应收款项类投资
balancesheet_quarterly,total_assets,资产总计,float,无,2,%.2f,资产总计
balancesheet_quarterly,lt_borr,长期借款,float,无,2,%.2f,长期借款
balancesheet_quarterly,st_borr,短期借款,float,无,2,%.2f,短期借款
balancesheet_quarterly,cb_borr,向中央银行借款,float,无,2,%.2f,向中央银行借款
balancesheet_quarterly,depos_ib_deposits,吸收存款及同业存放,float,无,2,%.2f,吸收存款及同业存放
balancesheet_quarterly,loan_oth_bank,拆入资金,float,无,2,%.2f,拆入资金
balancesheet_quarterly,trading_fl,交易性金融负债,float,无,2,%.2f,交易性金融负债
balancesheet_quarterly,notes_payable,应付票据,float,无,2,%.2f,应付票据
balancesheet_quarterly,acct_payable,应付账款,float,无,2,%.2f,应付账款
balancesheet_quarterly,adv_receipts,预收款项,float,无,2,%.2f,预收款项
balancesheet_quarterly,sold_for_repur_fa,卖出回购金融资产款,float,无,2,%.2f,卖出回购金融资产款
balancesheet_quarterly,comm_payable,应付手续费及佣金,float,无,2,%.2f,应付手续费及佣金
balancesheet_quarterly,payroll_payable,应付职工薪酬,float,无,2,%.2f,应付职工薪酬
balancesheet_quarterly,taxes_payable,应交税费,float,无,2,%.2f,应交税费
balancesheet_quarterly,int_payable,应付利息,float,无,2,%.2f,应付利息
balancesheet_quarterly,div_payable,应付股利,float,无,2,%.2f,应付股利
balancesheet_quarterly,oth_payable,其他应付款,float,无,2,%.2f,其他应付款
balancesheet_quarterly,acc_exp,预提费用,float,无,2,%.2f,预提费用
balancesheet_quarterly,deferred_inc,递延收益,float,无,2,%.2f,递延收益
balancesheet_quarterly,st_bonds_payable,应付短期债券,float,无,2,%.2f,应付短期债券
balancesheet_quarterly,payable_to_reinsurer,应付分保账款,float,无,2,%.2f,应付分保账款
balancesheet_quarterly,rsrv_insur_cont,保险合同准备金,float,无,2,%.2f,保险合同准备金
balancesheet_quarterly,acting_trading_sec,代理买卖证券款,float,无,2,%.2f,代理买卖证券款
balancesheet_quarterly,acting_uw_sec,代理承销证券款,float,无,2,%.2f,代理承销证券款
balancesheet_quarterly,non_cur_liab_due_1y,一年内到期的非流动负债,float,无,2,%.2f,一年内到期的非流动负债
balancesheet_quarterly,oth_cur_liab,其他流动负债,float,无,2,%.2f,其他流动负债
balancesheet_quarterly,total_cur_liab,流动负债合计,float,无,2,%.2f,流动负债合计
balancesheet_quarterly,bond_payable,应付债券,float,无,2,%.2f,应付债券
balancesheet_quarterly,lt_payable,长期应付款,float,无,2,%.2f,长期应付款
balancesheet_quarterly,specific_payables,专项应付款,float,无,2,%.2f,专项应付款
balancesheet_quarterly,estimated_liab,预计负债,float,无,2,%.2f,预计负债
balancesheet_quarterly,defer_tax_liab,递延所得税负债,float,无,2,%.2f,递延所得税负债
balancesheet_quarterly,defer_inc_non_cur_liab,递延收益-非流动负债,float,无,2,%.2f,递延收益-非流动负债
balancesheet_quarterly,oth_ncl,其他非流动负债,float,无,2,%.2f,其他非流动负债
balancesheet_quarterly,total_ncl,非流动负债合计,float,无,2,%.2f,非流动负债合计
balancesheet_quarterly,depos_oth_bfi,同业和其它金融机构存放款项,float,无,2,%.2f,同业和其它金融机构存放款项
balancesheet_quarterly,deriv_liab,衍生金融负债,float,无,2,%.2f,衍生金融负债
balancesheet_quarterly,depos,吸收存款,float,无,2,%.2f,吸收存款
balancesheet_quarterly,agency_bus_liab,代理业务负债,float,无,2,%.2f,代理业务负债
balancesheet_quarterly,oth_liab,其他负债,float,无,2,%.2f,其他负债
balancesheet_quarterly,prem_receiv_adva,预收保费,float,无,2,%.2f,预收保费
balancesheet_quarterly,depos_received,存入保证金,float,无,2,%.2f,存入保证金
balancesheet_quarterly,ph_invest,保户储金及投资款,float,无,2,%.2f,保户储金及投资款
balancesheet_quarterly,reser_une_prem,未到期责任准备金,float,无,2,%.2f,未到期责任准备金
balancesheet_quarterly,reser_outstd_claims,未决赔款准备金,float,无,2,%.2f,未决赔款准备金
balancesheet_quarterly,reser_lins_liab,寿险责任准备金,float,无,2,%.2f,寿险责任准备金
balancesheet_quarterly,reser_lthins_liab,长期健康险责任准备金,float,无,2,%.2f,长期健康险责任准备金
balancesheet_quarterly,indept_acc_liab,独立账户负债,float,无,2,%.2f,独立账户负债
balancesheet_quarterly,pledge_borr,其中:质押借款,float,无,2,%.2f,其中:质押借款
balancesheet_quarterly,indem_payable,应付赔付款,float,无,2,%.2f,应付赔付款
balancesheet_quarterly,policy_div_payable,应付保单红利,float,无,2,%.2f,应付保单红利
balancesheet_quarterly,total_liab,负债合计,float,无,2,%.2f,负债合计
balancesheet_quarterly,treasury_share,减:库存股,float,无,2,%.2f,减:库存股
balancesheet_quarterly,ordin_risk_reser,一般风险准备,float,无,2,%.2f,一般风险准备
balancesheet_quarterly,forex_differ,外币报表折算差额,float,无,2,%.2f,外币报表折算差额
balancesheet_quarterly,invest_loss_unconf,未确认的投资损失,float,无,2,%.2f,未确认的投资损失
balancesheet_quarterly,minority_int,少数股东权益,float,无,2,%.2f,少数股东权益
balancesheet_quarterly,total_hldr_eqy_exc_min_int,股东权益合计(不含少数股东权益),float,无,2,%.2f,股东权益合计(不含少数股东权益)
balancesheet_quarterly,total_hldr_eqy_inc_min_int,股东权益合计(含少数股东权益),float,无,2,%.2f,股东权益合计(含少数股东权益)
balancesheet_quarterly,total_liab_hldr_eqy,负债及股东权益总计,float,无,2,%.2f,负债及股东权益总计
balancesheet_quarterly,lt_payroll_payable,长期应付职工薪酬,float,无,2,%.2f,长期应付职工薪酬
balancesheet_quarterly,oth_comp_income,其他综合收益,float,无,2,%.2f,其他综合收益
balancesheet_quarterly,oth_eqt_tools,其他权益工具,float,无,2,%.2f,其他权益工具
balancesheet_quarterly,oth_eqt_tools_p_shr,其他权益工具(优先股),float,无,2,%.2f,其他权益工具(优先股)
balancesheet_quarterly,lending_funds,融出资金,float,无,2,%.2f,融出资金
balancesheet_quarterly,acc_receivable,应收款项,float,无,2,%.2f,应收款项
balancesheet_quarterly,st_fin_payable,应付短期融资款,float,无,2,%.2f,应付短期融资款
balancesheet_quarterly,payables,应付款项,float,无,2,%.2f,应付款项
balancesheet_quarterly,hfs_assets,持有待售的资产,float,无,2,%.2f,持有待售的资产
balancesheet_quarterly,hfs_sales,持有待售的负债,float,无,2,%.2f,持有待售的负债
balancesheet_quarterly,cost_fin_assets,以摊余成本计量的金融资产,float,无,2,%.2f,以摊余成本计量的金融资产
balancesheet_quarterly,fair_value_fin_assets,以公允价值计量且其变动计入其他综合收益的金融资产,float,无,2,%.2f,以公允价值计量且其变动计入其他综合收益的金融资产
balancesheet_quarterly,cip_total,在建工程(合计)(元),float,元,2,%.2f,在建工程(合计)(元)
balancesheet_quarterly,oth_pay_total,其他应付款(合计)(元),float,元,2,%.2f,其他应付款(合计)(元)
balancesheet_quarterly,long_pay_total,长期应付款(合计)(元),float,元,2,%.2f,长期应付款(合计)(元)
balancesheet_quarterly,debt_invest,债权投资(元),float,元,2,%.2f,债权投资(元)
balancesheet_quarterly,oth_debt_invest,其他债权投资(元),float,元,2,%.2f,其他债权投资(元)
balancesheet_quarterly,oth_eq_invest,其他权益工具投资(元),float,元,2,%.2f,其他权益工具投资(元)
balancesheet_quarterly,oth_illiq_fin_assets,其他非流动金融资产(元),float,元,2,%.2f,其他非流动金融资产(元)
balancesheet_quarterly,oth_eq_ppbond,其他权益工具:永续债(元),float,元,2,%.2f,其他权益工具:永续债(元)
balancesheet_quarterly,receiv_financing,应收款项融资,float,无,2,%.2f,应收款项融资
balancesheet_quarterly,use_right_assets,使用权资产,float,无,2,%.2f,使用权资产
balancesheet_quarterly,lease_liab,租赁负债,float,无,2,%.2f,租赁负债
balancesheet_quarterly,contract_assets,合同资产,float,无,2,%.2f,合同资产
balancesheet_quarterly,contract_liab,合同负债,float,无,2,%.2f,合同负债
balancesheet_quarterly,accounts_receiv_bill,应收票据及应收账款,float,无,2,%.2f,应收票据及应收账款
balancesheet_quarterly,accounts_pay,应付票据及应付账款,float,无,2,%.2f,应付票据及应付账款
balancesheet_quarterly,oth_rcv_total,其他应收款(合计)（元）,float,元,2,%.2f,其他应收款(合计)（元）
balancesheet_quarterly,fix_assets_total,固定资产(合计)(元),float,元,2,%.2f,固定资产(合计)(元)
balancesheet_quarterly,update_flag,更新标识,str,无,0,,更新标识
cashflow_quarterly,ts_code,TS股票代码,str,无,0,,TS股票代码
cashflow_quarterly,ann_date,公告日期,str,无,0,YYYY-MM-DD,公告日期
cashflow_quarterly,f_ann_date,实际公告日期,str,无,0,YYYY-MM-DD,实际公告日期
cashflow_quarterly,end_date,报告期,str,无,0,YYYY-MM-DD,报告期
cashflow_quarterly,comp_type,公司类型(1一般工商业2银行3保险4证券),str,无,0,,公司类型(1一般工商业2银行3保险4证券)
cashflow_quarterly,report_type,报表类型,str,无,0,,报表类型
cashflow_quarterly,end_type,报告期类型,str,无,0,,报告期类型
cashflow_quarterly,net_profit,净利润,float,无,2,%.2f,净利润
cashflow_quarterly,finan_exp,财务费用,float,无,2,%.2f,财务费用
cashflow_quarterly,c_fr_sale_sg,销售商品、提供劳务收到的现金,float,无,2,%.2f,销售商品、提供劳务收到的现金
cashflow_quarterly,recp_tax_rends,收到的税费返还,float,无,2,%.2f,收到的税费返还
cashflow_quarterly,n_depos_incr_fi,客户存款和同业存放款项净增加额,float,无,2,%.2f,客户存款和同业存放款项净增加额
cashflow_quarterly,n_incr_loans_cb,向中央银行借款净增加额,float,无,2,%.2f,向中央银行借款净增加额
cashflow_quarterly,n_inc_borr_oth_fi,向其他金融机构拆入资金净增加额,float,无,2,%.2f,向其他金融机构拆入资金净增加额
cashflow_quarterly,prem_fr_orig_contr,收到原保险合同保费取得的现金,float,无,2,%.2f,收到原保险合同保费取得的现金
cashflow_quarterly,n_incr_insured_dep,保户储金净增加额,float,无,2,%.2f,保户储金净增加额
cashflow_quarterly,n_reinsur_prem,收到再保业务现金净额,float,无,2,%.2f,收到再保业务现金净额
cashflow_quarterly,n_incr_disp_tfa,处置交易性金融资产净增加额,float,无,2,%.2f,处置交易性金融资产净增加额
cashflow_quarterly,ifc_cash_incr,收取利息和手续费净增加额,float,无,2,%.2f,收取利息和手续费净增加额
cashflow_quarterly,n_incr_disp_faas,处置可供出售金融资产净增加额,float,无,2,%.2f,处置可供出售金融资产净增加额
cashflow_quarterly,n_incr_loans_oth_bank,拆入资金净增加额,float,无,2,%.2f,拆入资金净增加额
cashflow_quarterly,n_cap_incr_repur,回购业务资金净增加额,float,无,2,%.2f,回购业务资金净增加额
cashflow_quarterly,c_fr_oth_operate_a,收到其他与经营活动有关的现金,float,无,2,%.2f,收到其他与经营活动有关的现金
cashflow_quarterly,c_inf_fr_operate_a,经营活动现金流入小计,float,无,2,%.2f,经营活动现金流入小计
cashflow_quarterly,c_paid_goods_s,购买商品、接受劳务支付的现金,float,无,2,%.2f,购买商品、接受劳务支付的现金
cashflow_quarterly,c_paid_to_for_empl,支付给职工以及为职工支付的现金,float,无,2,%.2f,支付给职工以及为职工支付的现金
cashflow_quarterly,c_paid_for_taxes,支付的各项税费,float,无,2,%.2f,支付的各项税费
cashflow_quarterly,n_incr_clt_loan_adv,客户贷款及垫款净增加额,float,无,2,%.2f,客户贷款及垫款净增加额
cashflow_quarterly,n_incr_dep_cbob,存放央行和同业款项净增加额,float,无,2,%.2f,存放央行和同业款项净增加额
cashflow_quarterly,c_pay_claims_orig_inco,支付原保险合同赔付款项的现金,float,无,2,%.2f,支付原保险合同赔付款项的现金
cashflow_quarterly,pay_handling_chrg,支付手续费的现金,float,无,2,%.2f,支付手续费的现金
cashflow_quarterly,pay_comm_insur_plcy,支付保单红利的现金,float,无,2,%.2f,支付保单红利的现金
cashflow_quarterly,oth_cash_pay_oper_act,支付其他与经营活动有关的现金,float,无,2,%.2f,支付其他与经营活动有关的现金
